المحافظة,القطاع,رأس_المال_المطلوب_بالألف,مؤشر_المخاطرة,القرار_الاستثماري
الحسكة,خدمات تقنية,6.1,0.2,استثمار متوسط
السويداء,خدمات تقنية,22.1,0.28,فرصة واعدة
الرقة,تجارة إلكترونية,16.5,0.41,استثمار متوسط
القنيطرة,خدمات تقنية,27.6,0.45,فرصة واعدة
الرقة,تجارة إلكترونية,43.7,0.25,فرصة واعدة
ريف دمشق,خدمات تقنية,12.5,0.56,استثمار متوسط
حلب,تصنيع غذائي,44.0,0.43,مخاطرة عالية
القنيطرة,تصنيع غذائي,166.4,0.64,فرصة واعدة
اللاذقية,صناعة هندسية,491.5,0.69,استثمار متوسط
القنيطرة,تصنيع غذائي,287.0,0.33,فرصة واعدة
ريف دمشق,صناعة هندسية,205.1,0.15,مخاطرة عالية
درعا,صناعة هندسية,819.3,0.42,فرصة واعدة
دمشق,طاقة متجددة,451.9,0.48,فرصة واعدة
الحسكة,تصنيع غذائي,170.7,0.11,فرصة واعدة
درعا,زراعة حديثة,124.5,0.12,فرصة واعدة
دير الزور,تصنيع غذائي,158.3,0.47,فرصة واعدة
الحسكة,خدمات تقنية,23.4,0.27,فرصة واعدة
طرطوس,صناعة هندسية,234.6,0.68,مخاطرة عالية
السويداء,تجارة إلكترونية,38.7,0.29,فرصة واعدة
طرطوس,زراعة حديثة,87.3,0.33,فرصة واعدة
حماة,صناعة هندسية,1048.1,0.24,فرصة واعدة
الحسكة,زراعة حديثة,145.6,0.36,فرصة واعدة
ريف دمشق,صناعة هندسية,170.4,0.29,مخاطرة عالية
الحسكة,طاقة متجددة,309.1,0.48,فرصة واعدة
طرطوس,خدمات تقنية,6.9,0.61,مخاطرة عالية
الحسكة,زراعة حديثة,31.9,0.16,مخاطرة عالية
حلب,تجارة إلكترونية,25.1,0.63,استثمار متوسط
القنيطرة,تصنيع غذائي,290.0,0.22,فرصة واعدة
ريف دمشق,طاقة متجددة,567.8,0.69,فرصة واعدة
ريف دمشق,تجارة إلكترونية,33.0,0.55,فرصة واعدة
دير الزور,خدمات تقنية,4.7,0.13,مخاطرة عالية
حلب,طاقة متجددة,365.0,0.68,استثمار متوسط
إدلب,طاقة متجددة,407.8,0.35,فرصة واعدة
السويداء,تصنيع غذائي,189.1,0.25,فرصة واعدة
دمشق,زراعة حديثة,128.9,0.58,فرصة واعدة
القنيطرة,صناعة هندسية,447.1,0.67,استثمار متوسط
السويداء,خدمات تقنية,21.0,0.34,فرصة واعدة
حلب,طاقة متجددة,157.1,0.25,استثمار متوسط
الرقة,طاقة متجددة,302.7,0.47,فرصة واعدة
اللاذقية,تصنيع غذائي,257.3,0.26,فرصة واعدة
حمص,طاقة متجددة,253.5,0.1,فرصة واعدة
اللاذقية,صناعة هندسية,1025.6,0.46,فرصة واعدة
طرطوس,زراعة حديثة,34.4,0.49,استثمار متوسط
الرقة,زراعة حديثة,90.0,0.56,فرصة واعدة
ريف دمشق,زراعة حديثة,57.8,0.21,استثمار متوسط
طرطوس,زراعة حديثة,40.1,0.41,مخاطرة عالية
ريف دمشق,صناعة هندسية,822.4,0.64,فرصة واعدة
الرقة,خدمات تقنية,5.6,0.53,مخاطرة عالية
الحسكة,خدمات تقنية,26.2,0.39,فرصة واعدة
حلب,صناعة هندسية,674.0,0.28,فرصة واعدة
ريف دمشق,صناعة هندسية,838.0,0.18,فرصة واعدة
دمشق,خدمات تقنية,15.2,0.33,فرصة واعدة
حلب,زراعة حديثة,94.8,0.46,فرصة واعدة
طرطوس,زراعة حديثة,63.3,0.26,فرصة واعدة
إدلب,زراعة حديثة,91.9,0.61,فرصة واعدة
اللاذقية,صناعة هندسية,175.8,0.5,مخاطرة عالية
الحسكة,صناعة هندسية,304.2,0.48,استثمار متوسط
دمشق,طاقة متجددة,568.1,0.49,فرصة واعدة
دمشق,خدمات تقنية,26.2,0.68,فرصة واعدة
دمشق,تصنيع غذائي,253.2,0.51,فرصة واعدة
دير الزور,تصنيع غذائي,171.2,0.65,فرصة واعدة
ريف دمشق,صناعة هندسية,265.0,0.14,استثمار متوسط
دمشق,طاقة متجددة,570.1,0.25,فرصة واعدة
إدلب,تجارة إلكترونية,40.7,0.49,فرصة واعدة
إدلب,طاقة متجددة,261.9,0.66,استثمار متوسط
درعا,تجارة إلكترونية,7.6,0.54,مخاطرة عالية
دير الزور,صناعة هندسية,982.8,0.36,فرصة واعدة
دمشق,خدمات تقنية,29.5,0.27,فرصة واعدة
درعا,تصنيع غذائي,146.0,0.29,فرصة واعدة
السويداء,تصنيع غذائي,241.6,0.18,فرصة واعدة
الحسكة,خدمات تقنية,24.5,0.43,فرصة واعدة
دير الزور,زراعة حديثة,148.7,0.24,فرصة واعدة
حلب,تصنيع غذائي,207.7,0.54,فرصة واعدة
ريف دمشق,خدمات تقنية,23.9,0.29,فرصة واعدة
السويداء,خدمات تقنية,14.7,0.51,فرصة واعدة
دير الزور,صناعة هندسية,386.0,0.15,فرصة واعدة
الحسكة,تجارة إلكترونية,30.6,0.16,فرصة واعدة
القنيطرة,زراعة حديثة,121.0,0.23,فرصة واعدة
دير الزور,زراعة حديثة,80.4,0.69,فرصة واعدة
ريف دمشق,خدمات تقنية,26.9,0.28,فرصة واعدة
حماة,تجارة إلكترونية,19.7,0.53,استثمار متوسط
دير الزور,تجارة إلكترونية,39.5,0.51,فرصة واعدة
درعا,زراعة حديثة,129.7,0.25,فرصة واعدة
ريف دمشق,زراعة حديثة,87.5,0.53,فرصة واعدة
الرقة,تصنيع غذائي,56.2,0.43,مخاطرة عالية
إدلب,زراعة حديثة,91.8,0.69,فرصة واعدة
القنيطرة,تجارة إلكترونية,41.8,0.53,فرصة واعدة
دمشق,صناعة هندسية,833.7,0.12,فرصة واعدة
حماة,تجارة إلكترونية,44.2,0.16,فرصة واعدة
حمص,صناعة هندسية,275.5,0.25,مخاطرة عالية
السويداء,تصنيع غذائي,285.6,0.6,فرصة واعدة
طرطوس,زراعة حديثة,47.9,0.46,استثمار متوسط
ريف دمشق,زراعة حديثة,32.8,0.5,مخاطرة عالية
درعا,خدمات تقنية,26.2,0.28,فرصة واعدة
حماة,تصنيع غذائي,132.8,0.23,فرصة واعدة
حماة,صناعة هندسية,811.7,0.54,فرصة واعدة
دمشق,خدمات تقنية,4.3,0.15,مخاطرة عالية
حلب,صناعة هندسية,1095.9,0.31,فرصة واعدة
اللاذقية,صناعة هندسية,874.4,0.39,فرصة واعدة
دير الزور,خدمات تقنية,4.3,0.58,مخاطرة عالية
الرقة,زراعة حديثة,46.2,0.23,استثمار متوسط
ريف دمشق,خدمات تقنية,14.5,0.33,فرصة واعدة
حلب,زراعة حديثة,139.1,0.21,فرصة واعدة
حلب,خدمات تقنية,24.6,0.25,فرصة واعدة
الحسكة,تصنيع غذائي,100.6,0.49,استثمار متوسط
حماة,خدمات تقنية,21.7,0.19,فرصة واعدة
حلب,تجارة إلكترونية,18.3,0.43,استثمار متوسط
حماة,خدمات تقنية,11.5,0.68,استثمار متوسط
الحسكة,تصنيع غذائي,296.7,0.27,فرصة واعدة
دير الزور,صناعة هندسية,1040.8,0.36,فرصة واعدة
دمشق,خدمات تقنية,13.9,0.59,استثمار متوسط
دمشق,خدمات تقنية,12.5,0.3,استثمار متوسط
اللاذقية,طاقة متجددة,426.8,0.23,فرصة واعدة
السويداء,طاقة متجددة,144.7,0.49,مخاطرة عالية
ريف دمشق,تصنيع غذائي,228.6,0.6,فرصة واعدة
حمص,زراعة حديثة,127.9,0.32,فرصة واعدة
الرقة,خدمات تقنية,7.2,0.68,مخاطرة عالية
حلب,صناعة هندسية,921.7,0.21,فرصة واعدة
ريف دمشق,صناعة هندسية,233.5,0.38,مخاطرة عالية
الحسكة,تصنيع غذائي,111.5,0.67,استثمار متوسط
حمص,خدمات تقنية,29.7,0.56,فرصة واعدة
دمشق,تجارة إلكترونية,18.5,0.13,استثمار متوسط
اللاذقية,صناعة هندسية,403.9,0.57,استثمار متوسط
درعا,زراعة حديثة,37.9,0.58,مخاطرة عالية
السويداء,تجارة إلكترونية,32.0,0.49,فرصة واعدة
دمشق,زراعة حديثة,68.2,0.53,استثمار متوسط
دير الزور,زراعة حديثة,107.3,0.6,فرصة واعدة
القنيطرة,زراعة حديثة,22.4,0.69,مخاطرة عالية
دمشق,تصنيع غذائي,251.4,0.55,فرصة واعدة
حمص,صناعة هندسية,848.5,0.12,فرصة واعدة
الرقة,صناعة هندسية,932.0,0.28,فرصة واعدة
دمشق,زراعة حديثة,111.4,0.69,فرصة واعدة
حمص,تصنيع غذائي,145.0,0.64,فرصة واعدة
دمشق,تجارة إلكترونية,22.0,0.17,فرصة واعدة
دمشق,تصنيع غذائي,191.7,0.51,استثمار متوسط
السويداء,زراعة حديثة,35.2,0.15,استثمار متوسط
دير الزور,خدمات تقنية,23.9,0.6,فرصة واعدة
دمشق,زراعة حديثة,37.9,0.43,مخاطرة عالية
حلب,زراعة حديثة,42.5,0.16,استثمار متوسط
حلب,زراعة حديثة,65.2,0.59,استثمار متوسط
اللاذقية,تجارة إلكترونية,40.4,0.2,فرصة واعدة
اللاذقية,خدمات تقنية,26.3,0.3,فرصة واعدة
الحسكة,زراعة حديثة,79.9,0.64,فرصة واعدة
إدلب,زراعة حديثة,40.0,0.46,مخاطرة عالية
إدلب,صناعة هندسية,720.8,0.37,فرصة واعدة
حمص,تجارة إلكترونية,20.3,0.17,فرصة واعدة
ريف دمشق,تجارة إلكترونية,15.8,0.21,فرصة واعدة
طرطوس,طاقة متجددة,486.2,0.1,فرصة واعدة
دمشق,تصنيع غذائي,285.6,0.68,فرصة واعدة
الحسكة,تصنيع غذائي,196.5,0.54,فرصة واعدة
إدلب,صناعة هندسية,694.9,0.2,فرصة واعدة
الحسكة,طاقة متجددة,584.6,0.15,فرصة واعدة
طرطوس,خدمات تقنية,21.3,0.3,فرصة واعدة
درعا,زراعة حديثة,43.9,0.35,استثمار متوسط
دمشق,خدمات تقنية,7.9,0.22,استثمار متوسط
اللاذقية,تجارة إلكترونية,38.7,0.57,فرصة واعدة
السويداء,تصنيع غذائي,244.2,0.46,فرصة واعدة
الحسكة,خدمات تقنية,20.8,0.44,فرصة واعدة
درعا,طاقة متجددة,587.5,0.6,فرصة واعدة
إدلب,تجارة إلكترونية,32.9,0.32,فرصة واعدة
السويداء,خدمات تقنية,23.4,0.46,فرصة واعدة
حمص,طاقة متجددة,532.3,0.28,فرصة واعدة
إدلب,طاقة متجددة,474.6,0.49,فرصة واعدة
القنيطرة,تجارة إلكترونية,33.3,0.59,فرصة واعدة
إدلب,زراعة حديثة,125.7,0.26,فرصة واعدة
القنيطرة,صناعة هندسية,381.0,0.41,استثمار متوسط
ريف دمشق,طاقة متجددة,247.9,0.7,استثمار متوسط
حمص,تصنيع غذائي,223.1,0.64,فرصة واعدة
طرطوس,تصنيع غذائي,259.1,0.66,فرصة واعدة
دمشق,خدمات تقنية,18.5,0.23,فرصة واعدة
السويداء,تصنيع غذائي,95.2,0.49,استثمار متوسط
حماة,تصنيع غذائي,108.2,0.52,استثمار متوسط
دمشق,تجارة إلكترونية,38.7,0.2,فرصة واعدة
دمشق,زراعة حديثة,82.6,0.58,استثمار متوسط
ريف دمشق,تجارة إلكترونية,32.5,0.14,فرصة واعدة
حمص,طاقة متجددة,517.8,0.7,فرصة واعدة
حمص,خدمات تقنية,18.2,0.36,فرصة واعدة
الرقة,تجارة إلكترونية,19.1,0.23,فرصة واعدة
حمص,تجارة إلكترونية,42.8,0.16,فرصة واعدة
حلب,زراعة حديثة,121.7,0.19,فرصة واعدة
السويداء,صناعة هندسية,477.1,0.15,فرصة واعدة
الحسكة,تصنيع غذائي,250.4,0.2,فرصة واعدة
ريف دمشق,زراعة حديثة,68.7,0.12,فرصة واعدة
الرقة,زراعة حديثة,117.2,0.56,فرصة واعدة
دمشق,صناعة هندسية,206.0,0.2,مخاطرة عالية
الرقة,خدمات تقنية,16.8,0.5,فرصة واعدة
السويداء,تجارة إلكترونية,39.8,0.14,فرصة واعدة
السويداء,تصنيع غذائي,209.0,0.57,فرصة واعدة
الحسكة,طاقة متجددة,121.7,0.32,مخاطرة عالية
السويداء,صناعة هندسية,810.0,0.42,فرصة واعدة
ريف دمشق,تصنيع غذائي,278.1,0.44,فرصة واعدة
دير الزور,خدمات تقنية,22.3,0.67,فرصة واعدة
حلب,تجارة إلكترونية,18.8,0.15,فرصة واعدة
حمص,زراعة حديثة,22.4,0.34,مخاطرة عالية
دمشق,تصنيع غذائي,187.8,0.53,فرصة واعدة
طرطوس,طاقة متجددة,472.2,0.55,فرصة واعدة
الرقة,خدمات تقنية,16.6,0.54,فرصة واعدة
إدلب,تصنيع غذائي,226.6,0.21,فرصة واعدة
دمشق,تجارة إلكترونية,26.1,0.37,فرصة واعدة
درعا,خدمات تقنية,29.8,0.28,فرصة واعدة
ريف دمشق,طاقة متجددة,227.4,0.68,استثمار متوسط
الرقة,تجارة إلكترونية,24.9,0.39,فرصة واعدة
دمشق,زراعة حديثة,121.1,0.2,فرصة واعدة
الرقة,زراعة حديثة,35.8,0.39,استثمار متوسط
حلب,طاقة متجددة,441.0,0.67,فرصة واعدة
الرقة,خدمات تقنية,7.1,0.5,مخاطرة عالية
طرطوس,صناعة هندسية,208.6,0.18,مخاطرة عالية
دير الزور,تصنيع غذائي,72.5,0.54,استثمار متوسط
دمشق,تصنيع غذائي,295.8,0.33,فرصة واعدة
دمشق,طاقة متجددة,276.5,0.48,استثمار متوسط
حمص,صناعة هندسية,867.9,0.46,فرصة واعدة
درعا,خدمات تقنية,20.8,0.48,فرصة واعدة
حلب,تجارة إلكترونية,29.3,0.52,فرصة واعدة
حمص,تجارة إلكترونية,38.3,0.66,فرصة واعدة
حلب,زراعة حديثة,143.6,0.64,فرصة واعدة
الرقة,طاقة متجددة,176.0,0.45,مخاطرة عالية
دمشق,خدمات تقنية,19.3,0.12,فرصة واعدة
دمشق,طاقة متجددة,97.0,0.53,مخاطرة عالية
حلب,خدمات تقنية,17.3,0.14,فرصة واعدة
الحسكة,طاقة متجددة,318.2,0.18,فرصة واعدة
